id,time,location,value,condition
6,23:12:28 09:45:27,12,8946.20,good
7,23:12:28 09:45:27,11,15699.85,bright
8,23:12:28 09:45:27,9,22387.51,bright
1,23:12:28 09:46:27,10,26926.13,bright
2,23:12:28 09:46:27,11,23893.68,bright
3,23:12:28 09:46:27,12,2898.35,dark
4,23:12:28 09:46:27,13,27975.47,bright
6,23:12:28 09:46:27,12,3484.32,dark
7,23:12:28 09:46:27,11,1388.91,dark
8,23:12:28 09:46:27,9,8993.25,bright
10,23:12:28 09:46:27,8,24285.57,bright
1,23:12:28 09:47:27,10,26402.30,bright
2,23:12:28 09:47:27,11,3418.53,good
3,23:12:28 09:47:27,12,11833.34,bright
4,23:12:28 09:47:27,13,19918.14,good
6,23:12:28 09:47:27,12,8415.56,good
8,23:12:28 09:47:27,9,8977.85,bright
9,23:12:28 09:47:27,13,7457.29,dark
10,23:12:28 09:47:27,8,10030.36,bright
1,23:12:28 09:48:27,10,28431.15,bright
2,23:12:28 09:48:27,11,7029.97,bright
3,23:12:28 09:48:27,12,5845.69,good
5,23:12:28 09:48:27,14,19620.00,bright
6,23:12:28 09:48:27,12,938.95,dark
7,23:12:28 09:48:27,11,19229.94,bright
8,23:12:28 09:48:27,9,13915.87,bright
9,23:12:28 09:48:27,13,14102.58,good
10,23:12:28 09:48:27,8,19183.11,bright
1,23:12:28 09:49:27,10,29290.46,bright
2,23:12:28 09:49:27,11,22239.74,bright
3,23:12:28 09:49:27,12,14257.58,bright
4,23:12:28 09:49:27,13,18294.94,good
5,23:12:28 09:49:27,14,10934.35,bright
7,23:12:28 09:49:27,11,17363.48,bright
8,23:12:28 09:49:27,9,14697.83,bright
9,23:12:28 09:49:27,13,3482.27,dark
10,23:12:28 09:49:27,8,6431.45,bright
1,23:12:28 09:50:27,10,27141.12,bright
2,23:12:28 09:50:27,11,27897.21,bright
3,23:12:28 09:50:27,12,17026.94,bright
4,23:12:28 09:50:27,13,18774.23,good
5,23:12:28 09:50:27,14,14246.04,bright
6,23:12:28 09:50:27,12,15878.66,bright
8,23:12:28 09:50:27,9,29475.44,bright
9,23:12:28 09:50:27,13,2775.66,dark
10,23:12:28 09:50:27,8,29920.62,bright
1,23:12:28 09:51:27,10,7367.78,bright
2,23:12:28 09:51:27,11,15679.17,bright
3,23:12:28 09:51:27,12,17908.22,bright
4,23:12:28 09:51:27,13,24365.88,bright
5,23:12:28 09:51:27,14,28306.82,bright
6,23:12:28 09:51:27,12,6146.62,good
7,23:12:28 09:51:27,11,19762.91,bright
8,23:12:28 09:51:27,9,10764.17,bright
9,23:12:28 09:51:27,13,21925.89,bright
10,23:12:28 09:51:27,8,4593.60,bright
1,23:12:28 09:52:27,10,26884.57,bright
2,23:12:28 09:52:27,11,2662.95,good
3,23:12:28 09:52:27,12,20057.79,bright
4,23:12:28 09:52:27,13,27659.33,bright
6,23:12:28 09:52:27,12,5079.58,good
8,23:12:28 09:52:27,9,14765.36,bright
9,23:12:28 09:52:27,13,25504.30,bright
2,23:12:28 09:53:27,11,19792.56,bright
3,23:12:28 09:53:27,12,16648.06,bright
5,23:12:28 09:53:27,14,2204.86,bright
6,23:12:28 09:53:27,12,13386.71,bright
8,23:12:28 09:53:27,9,10524.03,bright
9,23:12:28 09:53:27,13,18206.15,good
10,23:12:28 09:53:27,8,5784.60,bright
1,23:12:28 09:54:27,10,29852.38,bright
4,23:12:28 09:54:27,13,1674.63,dark
5,23:12:28 09:54:27,14,21366.39,bright
7,23:12:28 09:54:27,11,13505.15,bright
8,23:12:28 09:54:27,9,18380.53,bright
10,23:12:28 09:54:27,8,13744.23,bright
1,23:12:28 09:55:27,10,3746.04,bright
2,23:12:28 09:55:27,11,2126.46,good
4,23:12:28 09:55:27,13,6466.90,dark
5,23:12:28 09:55:27,14,28292.37,bright
6,23:12:28 09:55:27,12,15086.06,bright
7,23:12:28 09:55:27,11,23433.50,bright
8,23:12:28 09:55:27,9,20919.24,bright
9,23:12:28 09:55:27,13,4881.72,dark
1,23:12:28 09:56:27,10,23152.13,bright
2,23:12:28 09:56:27,11,13999.29,bright
3,23:12:28 09:56:27,12,25761.73,bright
4,23:12:28 09:56:27,13,11595.91,good
5,23:12:28 09:56:27,14,28272.17,bright
6,23:12:28 09:56:27,12,17849.56,bright
8,23:12:28 09:56:27,9,18956.18,bright
9,23:12:28 09:56:27,13,18612.25,good
1,23:12:28 09:57:27,10,19648.00,bright
2,23:12:28 09:57:27,11,29.86,dark
3,23:12:28 09:57:27,12,12782.12,bright
4,23:12:28 09:57:27,13,18972.29,good
5,23:12:28 09:57:27,14,4202.69,bright
7,23:12:28 09:57:27,11,27344.48,bright
8,23:12:28 09:57:27,9,14603.52,bright
9,23:12:28 09:57:27,13,26988.09,bright
10,23:12:28 09:57:27,8,19204.75,bright
3,23:12:28 09:58:27,12,1593.07,dark
4,23:12:28 09:58:27,13,3761.07,dark
5,23:12:28 09:58:27,14,15087.45,bright
6,23:12:28 09:58:27,12,4946.24,dark
7,23:12:28 09:58:27,11,23792.60,bright
8,23:12:28 09:58:27,9,15658.77,bright
9,23:12:28 09:58:27,13,9841.04,dark
10,23:12:28 09:58:27,8,16814.57,bright
1,23:12:28 09:59:27,10,22841.24,bright
2,23:12:28 09:59:27,11,27320.05,bright
4,23:12:28 09:59:27,13,24945.86,bright
5,23:12:28 09:59:27,14,11323.53,bright
6,23:12:28 09:59:27,12,13334.89,bright
7,23:12:28 09:59:27,11,5406.60,bright
8,23:12:28 09:59:27,9,14498.82,bright
9,23:12:28 09:59:27,13,10856.68,good
1,23:12:28 10:00:27,10,13322.14,bright
2,23:12:28 10:00:27,11,4820.61,good
3,23:12:28 10:00:27,12,18374.05,bright
4,23:12:28 10:00:27,13,20049.61,bright
5,23:12:28 10:00:27,14,22904.20,bright
7,23:12:28 10:00:27,11,14695.21,bright
8,23:12:28 10:00:27,9,11797.67,bright
10,23:12:28 10:00:27,8,17559.66,bright
2,23:12:28 10:01:27,11,27408.14,bright
3,23:12:28 10:01:27,12,1954.67,dark
7,23:12:28 10:01:27,11,17683.01,bright
9,23:12:28 10:01:27,13,25033.95,bright
10,23:12:28 10:01:27,8,26539.42,bright
1,23:12:28 10:02:27,10,5510.54,bright
2,23:12:28 10:02:27,11,15394.03,bright
3,23:12:28 10:02:27,12,8349.11,good
4,23:12:28 10:02:27,13,3562.98,dark
5,23:12:28 10:02:27,14,15641.35,bright
6,23:12:28 10:02:27,12,8682.78,good
7,23:12:28 10:02:27,11,16817.04,bright
8,23:12:28 10:02:27,9,2091.81,bright
9,23:12:28 10:02:27,13,24237.35,bright
10,23:12:28 10:02:27,8,26654.74,bright
2,23:12:28 10:03:27,11,8676.05,bright
3,23:12:28 10:03:27,12,3988.67,dark
4,23:12:28 10:03:27,13,22715.12,bright
6,23:12:28 10:03:27,12,20634.19,bright
7,23:12:28 10:03:27,11,10228.83,bright
8,23:12:28 10:03:27,9,558.91,dark
9,23:12:28 10:03:27,13,1473.42,dark
10,23:12:28 10:03:27,8,25378.85,bright
1,23:12:28 10:04:27,10,12222.44,bright
2,23:12:28 10:04:27,11,20722.87,bright
3,23:12:28 10:04:27,12,27998.77,bright
4,23:12:28 10:04:27,13,23429.73,bright
5,23:12:28 10:04:27,14,2570.30,bright
8,23:12:28 10:04:27,9,27976.93,bright
9,23:12:28 10:04:27,13,7527.29,dark
1,23:12:28 10:05:27,10,22448.17,bright
3,23:12:28 10:05:27,12,24604.23,bright
5,23:12:28 10:05:27,14,12564.30,bright
7,23:12:28 10:05:27,11,27656.92,bright
10,23:12:28 10:05:27,8,15729.86,bright
1,23:12:28 10:06:27,10,29095.65,bright
2,23:12:28 10:06:27,11,9478.50,bright
3,23:12:28 10:06:27,12,11425.05,bright
4,23:12:28 10:06:27,13,29725.42,bright
5,23:12:28 10:06:27,14,4423.16,bright
8,23:12:28 10:06:27,9,3677.59,bright
9,23:12:28 10:06:27,13,7021.08,dark
10,23:12:28 10:06:27,8,11671.39,bright
3,23:12:28 10:07:27,12,19431.73,bright
4,23:12:28 10:07:27,13,5184.16,dark
7,23:12:28 10:07:27,11,15614.40,bright
8,23:12:28 10:07:27,9,18145.27,bright
10,23:12:28 10:07:27,8,20753.21,bright
1,23:12:28 10:08:27,10,6335.65,bright
2,23:12:28 10:08:27,11,23650.26,bright
3,23:12:28 10:08:27,12,2127.23,dark
5,23:12:28 10:08:27,14,242.14,bright
6,23:12:28 10:08:27,12,18086.62,bright
9,23:12:28 10:08:27,13,21103.50,bright
10,23:12:28 10:08:27,8,14710.06,bright
1,23:12:28 10:09:27,10,29956.41,bright
2,23:12:28 10:09:27,11,23044.20,bright
3,23:12:28 10:09:27,12,16154.60,bright
4,23:12:28 10:09:27,13,12849.61,good
5,23:12:28 10:09:27,14,13137.27,bright
6,23:12:28 10:09:27,12,27915.71,bright
7,23:12:28 10:09:27,11,444.92,dark
8,23:12:28 10:09:27,9,28183.94,bright
10,23:12:28 10:09:27,8,11326.92,bright
1,23:12:28 10:10:27,10,27201.55,bright
2,23:12:28 10:10:27,11,2375.98,good
5,23:12:28 10:10:27,14,3818.15,bright
6,23:12:28 10:10:27,12,20689.61,bright
1,23:12:28 10:11:27,10,22281.55,bright
2,23:12:28 10:11:27,11,26287.19,bright
4,23:12:28 10:11:27,13,20805.75,bright
6,23:12:28 10:11:27,12,956.28,dark
7,23:12:28 10:11:27,11,4278.43,good
8,23:12:28 10:11:27,9,16567.81,bright
9,23:12:28 10:11:27,13,6343.16,dark
1,23:12:28 10:12:27,10,20615.63,bright
2,23:12:28 10:12:27,11,9813.13,bright
3,23:12:28 10:12:27,12,17175.27,bright
5,23:12:28 10:12:27,14,15929.85,bright
6,23:12:28 10:12:27,12,23682.97,bright
7,23:12:28 10:12:27,11,7773.04,bright
8,23:12:28 10:12:27,9,15184.52,bright
9,23:12:28 10:12:27,13,7019.31,dark
10,23:12:28 10:12:27,8,8404.73,bright
1,23:12:28 10:13:27,10,13647.06,bright
2,23:12:28 10:13:27,11,19059.43,bright
3,23:12:28 10:13:27,12,2769.88,dark
4,23:12:28 10:13:27,13,15456.27,good
5,23:12:28 10:13:27,14,18198.80,bright
7,23:12:28 10:13:27,11,25861.13,bright
8,23:12:28 10:13:27,9,25527.02,bright
9,23:12:28 10:13:27,13,17910.15,good
10,23:12:28 10:13:27,8,22503.67,bright
2,23:12:28 10:14:27,11,22167.54,bright
5,23:12:28 10:14:27,14,5680.16,bright
6,23:12:28 10:14:27,12,5217.00,good
8,23:12:28 10:14:27,9,20053.26,bright
9,23:12:28 10:14:27,13,8843.35,dark
10,23:12:28 10:14:27,8,4621.32,bright
1,23:12:28 10:15:27,10,2771.04,bright
2,23:12:28 10:15:27,11,19177.61,bright
3,23:12:28 10:15:27,12,4663.25,dark
4,23:12:28 10:15:27,13,24707.30,bright
5,23:12:28 10:15:27,14,18396.23,bright
6,23:12:28 10:15:27,12,9167.61,good
7,23:12:28 10:15:27,11,16167.04,bright
9,23:12:28 10:15:27,13,20819.64,bright
3,23:12:28 10:16:27,12,21991.32,bright
4,23:12:28 10:16:27,13,6244.74,dark
5,23:12:28 10:16:27,14,29450.92,bright
10,23:12:28 10:16:27,8,3890.99,bright
2,23:12:28 10:17:27,11,6971.45,bright
3,23:12:28 10:17:27,12,9672.83,good
4,23:12:28 10:17:27,13,13841.97,good
5,23:12:28 10:17:27,14,8558.03,bright
6,23:12:28 10:17:27,12,24753.67,bright
7,23:12:28 10:17:27,11,23081.41,bright
8,23:12:28 10:17:27,9,25109.83,bright
9,23:12:28 10:17:27,13,15882.04,good
10,23:12:28 10:17:27,8,16419.15,bright
3,23:12:28 10:18:27,12,28466.02,bright
5,23:12:28 10:18:27,14,15918.59,bright
6,23:12:28 10:18:27,12,4239.56,dark
7,23:12:28 10:18:27,11,7507.15,bright
1,23:12:28 10:19:27,10,17173.72,bright
2,23:12:28 10:19:27,11,18232.19,bright
3,23:12:28 10:19:27,12,12418.07,bright
4,23:12:28 10:19:27,13,16549.53,good
5,23:12:28 10:19:27,14,19941.66,bright
6,23:12:28 10:19:27,12,659.20,dark
7,23:12:28 10:19:27,11,665.44,dark
10,23:12:28 10:19:27,8,10309.06,bright
1,23:12:28 10:20:27,10,28712.58,bright
2,23:12:28 10:20:27,11,28173.53,bright
4,23:12:28 10:20:27,13,17825.94,good
6,23:12:28 10:20:27,12,4044.16,dark
7,23:12:28 10:20:27,11,19518.32,bright
8,23:12:28 10:20:27,9,3143.22,bright
10,23:12:28 10:20:27,8,6661.33,bright
1,23:12:28 10:21:27,10,3772.93,bright
2,23:12:28 10:21:27,11,28487.03,bright
4,23:12:28 10:21:27,13,4625.43,dark
7,23:12:28 10:21:27,11,11151.03,bright
8,23:12:28 10:21:27,9,10056.82,bright
1,23:12:28 10:22:27,10,13510.52,bright
2,23:12:28 10:22:27,11,25257.48,bright
3,23:12:28 10:22:27,12,21180.46,bright
4,23:12:28 10:22:27,13,10714.78,good
5,23:12:28 10:22:27,14,9615.54,bright
6,23:12:28 10:22:27,12,14038.07,bright
7,23:12:28 10:22:27,11,22250.46,bright
9,23:12:28 10:22:27,13,20078.03,bright
10,23:12:28 10:22:27,8,29268.82,bright
1,23:12:28 10:23:27,10,28041.49,bright
2,23:12:28 10:23:27,11,25930.35,bright
3,23:12:28 10:23:27,12,8328.35,good
4,23:12:28 10:23:27,13,6096.88,dark
5,23:12:28 10:23:27,14,5293.64,bright
6,23:12:28 10:23:27,12,8403.14,good
7,23:12:28 10:23:27,11,1142.98,dark
8,23:12:28 10:23:27,9,16911.19,bright
9,23:12:28 10:23:27,13,14373.38,good
10,23:12:28 10:23:27,8,18123.96,bright
2,23:12:28 10:24:27,11,13507.39,bright
3,23:12:28 10:24:27,12,1003.70,dark
4,23:12:28 10:24:27,13,16913.09,good
6,23:12:28 10:24:27,12,9435.90,good
7,23:12:28 10:24:27,11,24187.66,bright
8,23:12:28 10:24:27,9,13791.45,bright
9,23:12:28 10:24:27,13,13059.56,good
10,23:12:28 10:24:27,8,2597.42,bright
1,23:12:28 10:25:27,10,10697.01,bright
2,23:12:28 10:25:27,11,12139.20,bright
3,23:12:28 10:25:27,12,4892.46,dark
4,23:12:28 10:25:27,13,21363.71,bright
6,23:12:28 10:25:27,12,329.31,dark
7,23:12:28 10:25:27,11,5641.73,bright
8,23:12:28 10:25:27,9,5691.60,bright
10,23:12:28 10:25:27,8,6076.10,bright
1,23:12:28 10:26:27,10,13892.74,bright
2,23:12:28 10:26:27,11,5005.21,bright
4,23:12:28 10:26:27,13,14920.22,good
7,23:12:28 10:26:27,11,2693.51,good
8,23:12:28 10:26:27,9,11504.96,bright
10,23:12:28 10:26:27,8,23179.50,bright
1,23:12:28 10:27:27,10,5708.93,bright
3,23:12:28 10:27:27,12,21668.55,bright
6,23:12:28 10:27:27,12,14366.96,bright
7,23:12:28 10:27:27,11,246.90,dark
9,23:12:28 10:27:27,13,11749.61,good
10,23:12:28 10:27:27,8,2955.67,bright
2,23:12:28 10:28:27,11,13164.01,bright
4,23:12:28 10:28:27,13,18980.81,good
5,23:12:28 10:28:27,14,7156.41,bright
7,23:12:28 10:28:27,11,2479.68,good
8,23:12:28 10:28:27,9,10963.05,bright
9,23:12:28 10:28:27,13,3815.18,dark
10,23:12:28 10:28:27,8,14601.17,bright
1,23:12:28 10:29:27,10,1254.96,dark
2,23:12:28 10:29:27,11,24348.78,bright
4,23:12:28 10:29:27,13,12432.37,good
6,23:12:28 10:29:27,12,12388.07,bright
7,23:12:28 10:29:27,11,27995.43,bright
8,23:12:28 10:29:27,9,6941.54,bright
9,23:12:28 10:29:27,13,85.14,dark
1,23:12:28 10:30:27,10,21662.73,bright
3,23:12:28 10:30:27,12,21133.90,bright
4,23:12:28 10:30:27,13,1507.53,dark
5,23:12:28 10:30:27,14,11838.67,bright
6,23:12:28 10:30:27,12,27634.55,bright
9,23:12:28 10:30:27,13,9042.59,dark
10,23:12:28 10:30:27,8,6042.26,bright
1,23:12:28 10:31:27,10,785.26,dark
4,23:12:28 10:31:27,13,9289.44,dark
5,23:12:28 10:31:27,14,6808.21,bright
7,23:12:28 10:31:27,11,3463.82,good
8,23:12:28 10:31:27,9,27656.93,bright
9,23:12:28 10:31:27,13,27472.38,bright
10,23:12:28 10:31:27,8,11040.82,bright
1,23:12:28 10:32:27,10,22517.54,bright
3,23:12:28 10:32:27,12,2842.87,dark
4,23:12:28 10:32:27,13,17572.03,good
6,23:12:28 10:32:27,12,17322.42,bright
8,23:12:28 10:32:27,9,29129.63,bright
9,23:12:28 10:32:27,13,12231.04,good
10,23:12:28 10:32:27,8,10899.42,bright
1,23:12:28 10:33:27,10,17356.87,bright
2,23:12:28 10:33:27,11,2056.28,good
4,23:12:28 10:33:27,13,3153.61,dark
5,23:12:28 10:33:27,14,17665.72,bright
6,23:12:28 10:33:27,12,26246.72,bright
7,23:12:28 10:33:27,11,25039.98,bright
8,23:12:28 10:33:27,9,2380.13,bright
9,23:12:28 10:33:27,13,7236.55,dark
10,23:12:28 10:33:27,8,23293.87,bright
1,23:12:28 10:34:27,10,693.61,dark
3,23:12:28 10:34:27,12,2319.95,dark
4,23:12:28 10:34:27,13,9014.62,dark
5,23:12:28 10:34:27,14,17790.18,bright
6,23:12:28 10:34:27,12,24370.46,bright
8,23:12:28 10:34:27,9,16166.36,bright
9,23:12:28 10:34:27,13,18276.86,good
10,23:12:28 10:34:27,8,5615.01,bright
4,23:12:28 10:35:27,13,16920.68,good
6,23:12:28 10:35:27,12,24992.38,bright
7,23:12:28 10:35:27,11,18774.37,bright
8,23:12:28 10:35:27,9,15025.73,bright
9,23:12:28 10:35:27,13,4203.54,dark
4,23:12:28 10:36:27,13,1268.49,dark
5,23:12:28 10:36:27,14,9388.93,bright
6,23:12:28 10:36:27,12,9037.73,good
7,23:12:28 10:36:27,11,21251.80,bright
8,23:12:28 10:36:27,9,20918.09,bright
10,23:12:28 10:36:27,8,27015.50,bright
1,23:12:28 10:37:27,10,499.26,dark
2,23:12:28 10:37:27,11,7366.37,bright
3,23:12:28 10:37:27,12,11786.84,bright
4,23:12:28 10:37:27,13,28059.61,bright
5,23:12:28 10:37:27,14,22505.58,bright
6,23:12:28 10:37:27,12,20134.36,bright
7,23:12:28 10:37:27,11,11972.86,bright
8,23:12:28 10:37:27,9,15295.87,bright
9,23:12:28 10:37:27,13,8362.00,dark
10,23:12:28 10:37:27,8,3013.30,bright
1,23:12:28 10:38:27,10,3900.88,bright
2,23:12:28 10:38:27,11,7739.62,bright
3,23:12:28 10:38:27,12,18948.00,bright
4,23:12:28 10:38:27,13,16646.35,good
5,23:12:28 10:38:27,14,15232.11,bright
6,23:12:28 10:38:27,12,14597.96,bright
7,23:12:28 10:38:27,11,16331.32,bright
8,23:12:28 10:38:27,9,1760.46,bright
9,23:12:28 10:38:27,13,28118.32,bright
10,23:12:28 10:38:27,8,27930.71,bright
2,23:12:28 10:39:27,11,11260.23,bright
4,23:12:28 10:39:27,13,13490.30,good
5,23:12:28 10:39:27,14,26401.97,bright
7,23:12:28 10:39:27,11,24924.15,bright
10,23:12:28 10:39:27,8,24914.57,bright
1,23:12:28 10:40:27,10,14978.61,bright
3,23:12:28 10:40:27,12,27660.02,bright
4,23:12:28 10:40:27,13,9078.79,dark
8,23:12:28 10:40:27,9,9680.28,bright
9,23:12:28 10:40:27,13,9551.02,dark
2,23:12:28 10:41:27,11,15459.28,bright
3,23:12:28 10:41:27,12,7362.68,good
4,23:12:28 10:41:27,13,2866.02,dark
6,23:12:28 10:41:27,12,12815.81,bright
7,23:12:28 10:41:27,11,27498.73,bright
8,23:12:28 10:41:27,9,3914.39,bright
9,23:12:28 10:41:27,13,23427.12,bright
2,23:12:28 10:42:27,11,14140.09,bright
3,23:12:28 10:42:27,12,3286.66,dark
5,23:12:28 10:42:27,14,28189.72,bright
6,23:12:28 10:42:27,12,27758.70,bright
7,23:12:28 10:42:27,11,12462.37,bright
8,23:12:28 10:42:27,9,16248.00,bright
10,23:12:28 10:42:27,8,29195.15,bright
1,23:12:28 10:43:27,10,24562.06,bright
2,23:12:28 10:43:27,11,7870.86,bright
4,23:12:28 10:43:27,13,15497.19,good
5,23:12:28 10:43:27,14,21134.62,bright
6,23:12:28 10:43:27,12,3609.77,dark
7,23:12:28 10:43:27,11,12138.04,bright
8,23:12:28 10:43:27,9,18783.01,bright
9,23:12:28 10:43:27,13,23222.43,bright
10,23:12:28 10:43:27,8,6665.73,bright
1,23:12:28 10:44:27,10,8920.28,bright
3,23:12:28 10:44:27,12,27361.89,bright
5,23:12:28 10:44:27,14,12607.73,bright
7,23:12:28 10:44:27,11,566.34,dark
8,23:12:28 10:44:27,9,19384.77,bright
1,23:12:28 10:45:27,10,23763.02,bright
2,23:12:28 10:45:27,11,12882.19,bright
3,23:12:28 10:45:27,12,25103.57,bright
5,23:12:28 10:45:27,14,13340.85,bright
6,23:12:28 10:45:27,12,27841.02,bright
7,23:12:28 10:45:27,11,25742.49,bright
8,23:12:28 10:45:27,9,3138.87,bright
9,23:12:28 10:45:27,13,17932.14,good
1,23:12:28 10:46:27,10,3374.28,bright
3,23:12:28 10:46:27,12,5097.11,good
4,23:12:28 10:46:27,13,27278.76,bright
5,23:12:28 10:46:27,14,1683.53,bright
6,23:12:28 10:46:27,12,16865.14,bright
7,23:12:28 10:46:27,11,13055.24,bright
8,23:12:28 10:46:27,9,15824.06,bright
1,23:12:28 10:47:27,10,11645.66,bright
3,23:12:28 10:47:27,12,12996.97,bright
5,23:12:28 10:47:27,14,14044.24,bright
7,23:12:28 10:47:27,11,23456.51,bright
9,23:12:28 10:47:27,13,18417.66,good
10,23:12:28 10:47:27,8,25954.00,bright
1,23:12:28 10:48:27,10,27365.29,bright
2,23:12:28 10:48:27,11,27575.57,bright
3,23:12:28 10:48:27,12,26027.09,bright
4,23:12:28 10:48:27,13,28495.25,bright
5,23:12:28 10:48:27,14,2255.45,bright
6,23:12:28 10:48:27,12,16139.41,bright
9,23:12:28 10:48:27,13,21950.67,bright
10,23:12:28 10:48:27,8,14380.18,bright
1,23:12:28 10:49:27,10,9841.78,bright
2,23:12:28 10:49:27,11,17311.35,bright
3,23:12:28 10:49:27,12,14684.77,bright
4,23:12:28 10:49:27,13,841.63,dark
5,23:12:28 10:49:27,14,18410.16,bright
7,23:12:28 10:49:27,11,8011.65,bright
8,23:12:28 10:49:27,9,1185.96,bright
9,23:12:28 10:49:27,13,17784.42,good
1,23:12:28 10:50:27,10,25287.23,bright
2,23:12:28 10:50:27,11,23551.05,bright
3,23:12:28 10:50:27,12,26595.64,bright
4,23:12:28 10:50:27,13,7532.92,dark
5,23:12:28 10:50:27,14,5199.64,bright
6,23:12:28 10:50:27,12,7186.56,good
7,23:12:28 10:50:27,11,1622.73,dark
9,23:12:28 10:50:27,13,13757.63,good
10,23:12:28 10:50:27,8,28412.61,bright
1,23:12:28 10:51:27,10,5734.45,bright
4,23:12:28 10:51:27,13,20594.14,bright
6,23:12:28 10:51:27,12,11490.83,bright
7,23:12:28 10:51:27,11,9612.39,bright
8,23:12:28 10:51:27,9,29381.33,bright
9,23:12:28 10:51:27,13,9538.94,dark
10,23:12:28 10:51:27,8,20435.18,bright
1,23:12:28 10:52:27,10,5086.49,bright
2,23:12:28 10:52:27,11,14211.02,bright
3,23:12:28 10:52:27,12,4061.22,dark
4,23:12:28 10:52:27,13,5699.63,dark
5,23:12:28 10:52:27,14,20817.12,bright
6,23:12:28 10:52:27,12,7142.54,good
