id,time,value
5,23:12:28 09:45:27,1656.21
6,23:12:28 09:45:27,8946.20
7,23:12:28 09:45:27,15699.85
8,23:12:28 09:45:27,22387.51
9,23:12:28 09:45:27,32306.04
10,23:12:28 09:45:27,37463.04
1,23:12:28 09:46:27,26926.13
2,23:12:28 09:46:27,23893.68
3,23:12:28 09:46:27,2898.35
4,23:12:28 09:46:27,27975.47
5,23:12:28 09:46:27,30493.32
6,23:12:28 09:46:27,3484.32
7,23:12:28 09:46:27,1388.91
8,23:12:28 09:46:27,8993.25
9,23:12:28 09:46:27,34390.41
10,23:12:28 09:46:27,24285.57
1,23:12:28 09:47:27,26402.30
2,23:12:28 09:47:27,3418.53
3,23:12:28 09:47:27,11833.34
4,23:12:28 09:47:27,19918.14
5,23:12:28 09:47:27,37636.50
6,23:12:28 09:47:27,8415.56
7,23:12:28 09:47:27,38300.84
8,23:12:28 09:47:27,8977.85
9,23:12:28 09:47:27,7457.29
10,23:12:28 09:47:27,10030.36
1,23:12:28 09:48:27,28431.15
2,23:12:28 09:48:27,7029.97
3,23:12:28 09:48:27,5845.69
4,23:12:28 09:48:27,31994.59
5,23:12:28 09:48:27,19620.00
6,23:12:28 09:48:27,938.95
7,23:12:28 09:48:27,19229.94
8,23:12:28 09:48:27,13915.87
9,23:12:28 09:48:27,14102.58
10,23:12:28 09:48:27,19183.11
1,23:12:28 09:49:27,29290.46
2,23:12:28 09:49:27,22239.74
3,23:12:28 09:49:27,14257.58
4,23:12:28 09:49:27,18294.94
5,23:12:28 09:49:27,10934.35
6,23:12:28 09:49:27,34105.19
7,23:12:28 09:49:27,17363.48
8,23:12:28 09:49:27,14697.83
9,23:12:28 09:49:27,3482.27
10,23:12:28 09:49:27,6431.45
1,23:12:28 09:50:27,27141.12
2,23:12:28 09:50:27,27897.21
3,23:12:28 09:50:27,17026.94
4,23:12:28 09:50:27,18774.23
5,23:12:28 09:50:27,14246.04
6,23:12:28 09:50:27,15878.66
7,23:12:28 09:50:27,38084.27
8,23:12:28 09:50:27,29475.44
9,23:12:28 09:50:27,2775.66
10,23:12:28 09:50:27,29920.62
1,23:12:28 09:51:27,7367.78
2,23:12:28 09:51:27,15679.17
3,23:12:28 09:51:27,17908.22
4,23:12:28 09:51:27,24365.88
5,23:12:28 09:51:27,28306.82
6,23:12:28 09:51:27,6146.62
7,23:12:28 09:51:27,19762.91
8,23:12:28 09:51:27,10764.17
9,23:12:28 09:51:27,21925.89
10,23:12:28 09:51:27,4593.60
1,23:12:28 09:52:27,26884.57
2,23:12:28 09:52:27,2662.95
3,23:12:28 09:52:27,20057.79
4,23:12:28 09:52:27,27659.33
5,23:12:28 09:52:27,36745.10
6,23:12:28 09:52:27,5079.58
7,23:12:28 09:52:27,35095.08
8,23:12:28 09:52:27,14765.36
9,23:12:28 09:52:27,25504.30
10,23:12:28 09:52:27,36659.02
1,23:12:28 09:53:27,30609.06
2,23:12:28 09:53:27,19792.56
3,23:12:28 09:53:27,16648.06
4,23:12:28 09:53:27,30890.48
5,23:12:28 09:53:27,2204.86
6,23:12:28 09:53:27,13386.71
7,23:12:28 09:53:27,34597.22
8,23:12:28 09:53:27,10524.03
9,23:12:28 09:53:27,18206.15
10,23:12:28 09:53:27,5784.60
1,23:12:28 09:54:27,29852.38
2,23:12:28 09:54:27,36498.24
3,23:12:28 09:54:27,36471.23
4,23:12:28 09:54:27,1674.63
5,23:12:28 09:54:27,21366.39
6,23:12:28 09:54:27,30787.68
7,23:12:28 09:54:27,13505.15
8,23:12:28 09:54:27,18380.53
9,23:12:28 09:54:27,33532.96
10,23:12:28 09:54:27,13744.23
1,23:12:28 09:55:27,3746.04
2,23:12:28 09:55:27,2126.46
3,23:12:28 09:55:27,34865.19
4,23:12:28 09:55:27,6466.90
5,23:12:28 09:55:27,28292.37
6,23:12:28 09:55:27,15086.06
7,23:12:28 09:55:27,23433.50
8,23:12:28 09:55:27,20919.24
9,23:12:28 09:55:27,4881.72
10,23:12:28 09:55:27,32721.22
1,23:12:28 09:56:27,23152.13
2,23:12:28 09:56:27,13999.29
3,23:12:28 09:56:27,25761.73
4,23:12:28 09:56:27,11595.91
5,23:12:28 09:56:27,28272.17
6,23:12:28 09:56:27,17849.56
7,23:12:28 09:56:27,34873.80
8,23:12:28 09:56:27,18956.18
9,23:12:28 09:56:27,18612.25
10,23:12:28 09:56:27,39221.92
1,23:12:28 09:57:27,19648.00
2,23:12:28 09:57:27,29.86
3,23:12:28 09:57:27,12782.12
4,23:12:28 09:57:27,18972.29
5,23:12:28 09:57:27,4202.69
6,23:12:28 09:57:27,36767.22
7,23:12:28 09:57:27,27344.48
8,23:12:28 09:57:27,14603.52
9,23:12:28 09:57:27,26988.09
10,23:12:28 09:57:27,19204.75
1,23:12:28 09:58:27,35955.64
2,23:12:28 09:58:27,33986.86
3,23:12:28 09:58:27,1593.07
4,23:12:28 09:58:27,3761.07
5,23:12:28 09:58:27,15087.45
6,23:12:28 09:58:27,4946.24
7,23:12:28 09:58:27,23792.60
8,23:12:28 09:58:27,15658.77
9,23:12:28 09:58:27,9841.04
10,23:12:28 09:58:27,16814.57
1,23:12:28 09:59:27,22841.24
2,23:12:28 09:59:27,27320.05
3,23:12:28 09:59:27,39459.84
4,23:12:28 09:59:27,24945.86
5,23:12:28 09:59:27,11323.53
6,23:12:28 09:59:27,13334.89
7,23:12:28 09:59:27,5406.60
8,23:12:28 09:59:27,14498.82
9,23:12:28 09:59:27,10856.68
10,23:12:28 09:59:27,30887.27
1,23:12:28 10:00:27,13322.14
2,23:12:28 10:00:27,4820.61
3,23:12:28 10:00:27,18374.05
4,23:12:28 10:00:27,20049.61
5,23:12:28 10:00:27,22904.20
6,23:12:28 10:00:27,32266.64
7,23:12:28 10:00:27,14695.21
8,23:12:28 10:00:27,11797.67
9,23:12:28 10:00:27,32325.80
10,23:12:28 10:00:27,17559.66
1,23:12:28 10:01:27,33775.16
2,23:12:28 10:01:27,27408.14
3,23:12:28 10:01:27,1954.67
4,23:12:28 10:01:27,34595.02
5,23:12:28 10:01:27,30310.10
6,23:12:28 10:01:27,38025.04
7,23:12:28 10:01:27,17683.01
8,23:12:28 10:01:27,36330.75
9,23:12:28 10:01:27,25033.95
10,23:12:28 10:01:27,26539.42
1,23:12:28 10:02:27,5510.54
2,23:12:28 10:02:27,15394.03
3,23:12:28 10:02:27,8349.11
4,23:12:28 10:02:27,3562.98
5,23:12:28 10:02:27,15641.35
6,23:12:28 10:02:27,8682.78
7,23:12:28 10:02:27,16817.04
8,23:12:28 10:02:27,2091.81
9,23:12:28 10:02:27,24237.35
10,23:12:28 10:02:27,26654.74
1,23:12:28 10:03:27,36099.30
2,23:12:28 10:03:27,8676.05
3,23:12:28 10:03:27,3988.67
4,23:12:28 10:03:27,22715.12
5,23:12:28 10:03:27,34925.73
6,23:12:28 10:03:27,20634.19
7,23:12:28 10:03:27,10228.83
8,23:12:28 10:03:27,558.91
9,23:12:28 10:03:27,1473.42
10,23:12:28 10:03:27,25378.85
1,23:12:28 10:04:27,12222.44
2,23:12:28 10:04:27,20722.87
3,23:12:28 10:04:27,27998.77
4,23:12:28 10:04:27,23429.73
5,23:12:28 10:04:27,2570.30
6,23:12:28 10:04:27,34195.12
7,23:12:28 10:04:27,31054.07
8,23:12:28 10:04:27,27976.93
9,23:12:28 10:04:27,7527.29
10,23:12:28 10:04:27,34792.83
1,23:12:28 10:05:27,22448.17
2,23:12:28 10:05:27,30451.43
3,23:12:28 10:05:27,24604.23
4,23:12:28 10:05:27,30246.87
5,23:12:28 10:05:27,12564.30
6,23:12:28 10:05:27,39366.12
7,23:12:28 10:05:27,27656.92
8,23:12:28 10:05:27,36662.27
9,23:12:28 10:05:27,36326.49
10,23:12:28 10:05:27,15729.86
1,23:12:28 10:06:27,29095.65
2,23:12:28 10:06:27,9478.50
3,23:12:28 10:06:27,11425.05
4,23:12:28 10:06:27,29725.42
5,23:12:28 10:06:27,4423.16
6,23:12:28 10:06:27,30591.91
7,23:12:28 10:06:27,38284.39
8,23:12:28 10:06:27,3677.59
9,23:12:28 10:06:27,7021.08
10,23:12:28 10:06:27,11671.39
1,23:12:28 10:07:27,33831.41
2,23:12:28 10:07:27,39573.36
3,23:12:28 10:07:27,19431.73
4,23:12:28 10:07:27,5184.16
5,23:12:28 10:07:27,33577.16
6,23:12:28 10:07:27,37235.36
7,23:12:28 10:07:27,15614.40
8,23:12:28 10:07:27,18145.27
9,23:12:28 10:07:27,38017.95
10,23:12:28 10:07:27,20753.21
1,23:12:28 10:08:27,6335.65
2,23:12:28 10:08:27,23650.26
3,23:12:28 10:08:27,2127.23
4,23:12:28 10:08:27,35163.22
5,23:12:28 10:08:27,242.14
6,23:12:28 10:08:27,18086.62
7,23:12:28 10:08:27,36400.52
8,23:12:28 10:08:27,32227.11
9,23:12:28 10:08:27,21103.50
10,23:12:28 10:08:27,14710.06
1,23:12:28 10:09:27,29956.41
2,23:12:28 10:09:27,23044.20
3,23:12:28 10:09:27,16154.60
4,23:12:28 10:09:27,12849.61
5,23:12:28 10:09:27,13137.27
6,23:12:28 10:09:27,27915.71
7,23:12:28 10:09:27,444.92
8,23:12:28 10:09:27,28183.94
9,23:12:28 10:09:27,33157.51
10,23:12:28 10:09:27,11326.92
1,23:12:28 10:10:27,27201.55
2,23:12:28 10:10:27,2375.98
3,23:12:28 10:10:27,31159.94
4,23:12:28 10:10:27,39405.02
5,23:12:28 10:10:27,3818.15
6,23:12:28 10:10:27,20689.61
7,23:12:28 10:10:27,31874.79
8,23:12:28 10:10:27,37441.39
9,23:12:28 10:10:27,37625.99
10,23:12:28 10:10:27,32603.53
1,23:12:28 10:11:27,22281.55
2,23:12:28 10:11:27,26287.19
3,23:12:28 10:11:27,34530.73
4,23:12:28 10:11:27,20805.75
5,23:12:28 10:11:27,32505.76
6,23:12:28 10:11:27,956.28
7,23:12:28 10:11:27,4278.43
8,23:12:28 10:11:27,16567.81
9,23:12:28 10:11:27,6343.16
10,23:12:28 10:11:27,35051.68
1,23:12:28 10:12:27,20615.63
2,23:12:28 10:12:27,9813.13
3,23:12:28 10:12:27,17175.27
4,23:12:28 10:12:27,36855.35
5,23:12:28 10:12:27,15929.85
6,23:12:28 10:12:27,23682.97
7,23:12:28 10:12:27,7773.04
8,23:12:28 10:12:27,15184.52
9,23:12:28 10:12:27,7019.31
10,23:12:28 10:12:27,8404.73
1,23:12:28 10:13:27,13647.06
2,23:12:28 10:13:27,19059.43
3,23:12:28 10:13:27,2769.88
4,23:12:28 10:13:27,15456.27
5,23:12:28 10:13:27,18198.80
6,23:12:28 10:13:27,31166.14
7,23:12:28 10:13:27,25861.13
8,23:12:28 10:13:27,25527.02
9,23:12:28 10:13:27,17910.15
10,23:12:28 10:13:27,22503.67
1,23:12:28 10:14:27,30130.34
2,23:12:28 10:14:27,22167.54
3,23:12:28 10:14:27,39786.77
4,23:12:28 10:14:27,39310.71
5,23:12:28 10:14:27,5680.16
6,23:12:28 10:14:27,5217.00
7,23:12:28 10:14:27,34436.06
8,23:12:28 10:14:27,20053.26
9,23:12:28 10:14:27,8843.35
10,23:12:28 10:14:27,4621.32
1,23:12:28 10:15:27,2771.04
2,23:12:28 10:15:27,19177.61
3,23:12:28 10:15:27,4663.25
4,23:12:28 10:15:27,24707.30
5,23:12:28 10:15:27,18396.23
6,23:12:28 10:15:27,9167.61
7,23:12:28 10:15:27,16167.04
8,23:12:28 10:15:27,31302.45
9,23:12:28 10:15:27,20819.64
10,23:12:28 10:15:27,39126.84
1,23:12:28 10:16:27,38174.11
2,23:12:28 10:16:27,39994.43
3,23:12:28 10:16:27,21991.32
4,23:12:28 10:16:27,6244.74
5,23:12:28 10:16:27,29450.92
6,23:12:28 10:16:27,33319.30
7,23:12:28 10:16:27,31540.87
8,23:12:28 10:16:27,35779.96
9,23:12:28 10:16:27,33611.63
10,23:12:28 10:16:27,3890.99
1,23:12:28 10:17:27,37743.59
2,23:12:28 10:17:27,6971.45
3,23:12:28 10:17:27,9672.83
4,23:12:28 10:17:27,13841.97
5,23:12:28 10:17:27,8558.03
6,23:12:28 10:17:27,24753.67
7,23:12:28 10:17:27,23081.41
8,23:12:28 10:17:27,25109.83
9,23:12:28 10:17:27,15882.04
10,23:12:28 10:17:27,16419.15
1,23:12:28 10:18:27,37772.82
2,23:12:28 10:18:27,34693.34
3,23:12:28 10:18:27,28466.02
4,23:12:28 10:18:27,34781.98
5,23:12:28 10:18:27,15918.59
6,23:12:28 10:18:27,4239.56
7,23:12:28 10:18:27,7507.15
8,23:12:28 10:18:27,37617.41
9,23:12:28 10:18:27,39785.58
10,23:12:28 10:18:27,36222.28
1,23:12:28 10:19:27,17173.72
2,23:12:28 10:19:27,18232.19
3,23:12:28 10:19:27,12418.07
4,23:12:28 10:19:27,16549.53
5,23:12:28 10:19:27,19941.66
6,23:12:28 10:19:27,659.20
7,23:12:28 10:19:27,665.44
8,23:12:28 10:19:27,37171.50
9,23:12:28 10:19:27,33234.88
10,23:12:28 10:19:27,10309.06
1,23:12:28 10:20:27,28712.58
2,23:12:28 10:20:27,28173.53
3,23:12:28 10:20:27,32950.26
4,23:12:28 10:20:27,17825.94
5,23:12:28 10:20:27,31749.64
6,23:12:28 10:20:27,4044.16
7,23:12:28 10:20:27,19518.32
8,23:12:28 10:20:27,3143.22
9,23:12:28 10:20:27,36740.49
10,23:12:28 10:20:27,6661.33
1,23:12:28 10:21:27,3772.93
2,23:12:28 10:21:27,28487.03
3,23:12:28 10:21:27,34808.59
4,23:12:28 10:21:27,4625.43
5,23:12:28 10:21:27,37316.16
6,23:12:28 10:21:27,39703.07
7,23:12:28 10:21:27,11151.03
8,23:12:28 10:21:27,10056.82
9,23:12:28 10:21:27,30389.48
10,23:12:28 10:21:27,38204.67
1,23:12:28 10:22:27,13510.52
2,23:12:28 10:22:27,25257.48
3,23:12:28 10:22:27,21180.46
4,23:12:28 10:22:27,10714.78
5,23:12:28 10:22:27,9615.54
6,23:12:28 10:22:27,14038.07
7,23:12:28 10:22:27,22250.46
8,23:12:28 10:22:27,33698.75
9,23:12:28 10:22:27,20078.03
10,23:12:28 10:22:27,29268.82
1,23:12:28 10:23:27,28041.49
2,23:12:28 10:23:27,25930.35
3,23:12:28 10:23:27,8328.35
4,23:12:28 10:23:27,6096.88
5,23:12:28 10:23:27,5293.64
6,23:12:28 10:23:27,8403.14
7,23:12:28 10:23:27,1142.98
8,23:12:28 10:23:27,16911.19
9,23:12:28 10:23:27,14373.38
10,23:12:28 10:23:27,18123.96
1,23:12:28 10:24:27,39462.84
2,23:12:28 10:24:27,13507.39
3,23:12:28 10:24:27,1003.70
4,23:12:28 10:24:27,16913.09
5,23:12:28 10:24:27,36869.85
6,23:12:28 10:24:27,9435.90
7,23:12:28 10:24:27,24187.66
8,23:12:28 10:24:27,13791.45
9,23:12:28 10:24:27,13059.56
10,23:12:28 10:24:27,2597.42
1,23:12:28 10:25:27,10697.01
2,23:12:28 10:25:27,12139.20
3,23:12:28 10:25:27,4892.46
4,23:12:28 10:25:27,21363.71
5,23:12:28 10:25:27,33093.42
6,23:12:28 10:25:27,329.31
7,23:12:28 10:25:27,5641.73
8,23:12:28 10:25:27,5691.60
9,23:12:28 10:25:27,36556.87
10,23:12:28 10:25:27,6076.10
1,23:12:28 10:26:27,13892.74
2,23:12:28 10:26:27,5005.21
3,23:12:28 10:26:27,37188.41
4,23:12:28 10:26:27,14920.22
5,23:12:28 10:26:27,39813.48
6,23:12:28 10:26:27,39193.78
7,23:12:28 10:26:27,2693.51
8,23:12:28 10:26:27,11504.96
9,23:12:28 10:26:27,35231.31
10,23:12:28 10:26:27,23179.50
1,23:12:28 10:27:27,5708.93
2,23:12:28 10:27:27,37056.25
3,23:12:28 10:27:27,21668.55
4,23:12:28 10:27:27,38409.36
5,23:12:28 10:27:27,38183.16
6,23:12:28 10:27:27,14366.96
7,23:12:28 10:27:27,246.90
8,23:12:28 10:27:27,37311.09
9,23:12:28 10:27:27,11749.61
10,23:12:28 10:27:27,2955.67
1,23:12:28 10:28:27,35051.08
2,23:12:28 10:28:27,13164.01
3,23:12:28 10:28:27,35801.75
4,23:12:28 10:28:27,18980.81
5,23:12:28 10:28:27,7156.41
6,23:12:28 10:28:27,39458.65
7,23:12:28 10:28:27,2479.68
8,23:12:28 10:28:27,10963.05
9,23:12:28 10:28:27,3815.18
10,23:12:28 10:28:27,14601.17
1,23:12:28 10:29:27,1254.96
2,23:12:28 10:29:27,24348.78
3,23:12:28 10:29:27,38478.00
4,23:12:28 10:29:27,12432.37
5,23:12:28 10:29:27,38546.29
6,23:12:28 10:29:27,12388.07
7,23:12:28 10:29:27,27995.43
8,23:12:28 10:29:27,6941.54
9,23:12:28 10:29:27,85.14
10,23:12:28 10:29:27,32469.13
1,23:12:28 10:30:27,21662.73
2,23:12:28 10:30:27,32369.10
3,23:12:28 10:30:27,21133.90
4,23:12:28 10:30:27,1507.53
5,23:12:28 10:30:27,11838.67
6,23:12:28 10:30:27,27634.55
7,23:12:28 10:30:27,39364.30
8,23:12:28 10:30:27,37643.20
9,23:12:28 10:30:27,9042.59
10,23:12:28 10:30:27,6042.26
1,23:12:28 10:31:27,785.26
2,23:12:28 10:31:27,32961.71
3,23:12:28 10:31:27,33881.01
4,23:12:28 10:31:27,9289.44
5,23:12:28 10:31:27,6808.21
6,23:12:28 10:31:27,39140.49
7,23:12:28 10:31:27,3463.82
8,23:12:28 10:31:27,27656.93
9,23:12:28 10:31:27,27472.38
10,23:12:28 10:31:27,11040.82
1,23:12:28 10:32:27,22517.54
2,23:12:28 10:32:27,30851.02
3,23:12:28 10:32:27,2842.87
4,23:12:28 10:32:27,17572.03
5,23:12:28 10:32:27,31855.56
6,23:12:28 10:32:27,17322.42
7,23:12:28 10:32:27,37145.96
8,23:12:28 10:32:27,29129.63
9,23:12:28 10:32:27,12231.04
10,23:12:28 10:32:27,10899.42
1,23:12:28 10:33:27,17356.87
2,23:12:28 10:33:27,2056.28
3,23:12:28 10:33:27,39381.99
4,23:12:28 10:33:27,3153.61
5,23:12:28 10:33:27,17665.72
6,23:12:28 10:33:27,26246.72
7,23:12:28 10:33:27,25039.98
8,23:12:28 10:33:27,2380.13
9,23:12:28 10:33:27,7236.55
10,23:12:28 10:33:27,23293.87
1,23:12:28 10:34:27,693.61
2,23:12:28 10:34:27,38352.44
3,23:12:28 10:34:27,2319.95
4,23:12:28 10:34:27,9014.62
5,23:12:28 10:34:27,17790.18
6,23:12:28 10:34:27,24370.46
7,23:12:28 10:34:27,35537.12
8,23:12:28 10:34:27,16166.36
9,23:12:28 10:34:27,18276.86
10,23:12:28 10:34:27,5615.01
1,23:12:28 10:35:27,34718.91
2,23:12:28 10:35:27,35387.19
3,23:12:28 10:35:27,35326.77
4,23:12:28 10:35:27,16920.68
5,23:12:28 10:35:27,39690.27
6,23:12:28 10:35:27,24992.38
7,23:12:28 10:35:27,18774.37
8,23:12:28 10:35:27,15025.73
9,23:12:28 10:35:27,4203.54
10,23:12:28 10:35:27,38761.60
1,23:12:28 10:36:27,33274.08
2,23:12:28 10:36:27,39409.20
3,23:12:28 10:36:27,34867.92
4,23:12:28 10:36:27,1268.49
5,23:12:28 10:36:27,9388.93
6,23:12:28 10:36:27,9037.73
7,23:12:28 10:36:27,21251.80
8,23:12:28 10:36:27,20918.09
9,23:12:28 10:36:27,31900.59
10,23:12:28 10:36:27,27015.50
1,23:12:28 10:37:27,499.26
2,23:12:28 10:37:27,7366.37
3,23:12:28 10:37:27,11786.84
4,23:12:28 10:37:27,28059.61
5,23:12:28 10:37:27,22505.58
6,23:12:28 10:37:27,20134.36
7,23:12:28 10:37:27,11972.86
8,23:12:28 10:37:27,15295.87
9,23:12:28 10:37:27,8362.00
10,23:12:28 10:37:27,3013.30
1,23:12:28 10:38:27,3900.88
2,23:12:28 10:38:27,7739.62
3,23:12:28 10:38:27,18948.00
4,23:12:28 10:38:27,16646.35
5,23:12:28 10:38:27,15232.11
6,23:12:28 10:38:27,14597.96
7,23:12:28 10:38:27,16331.32
8,23:12:28 10:38:27,1760.46
9,23:12:28 10:38:27,28118.32
10,23:12:28 10:38:27,27930.71
1,23:12:28 10:39:27,33732.43
2,23:12:28 10:39:27,11260.23
3,23:12:28 10:39:27,31882.81
4,23:12:28 10:39:27,13490.30
5,23:12:28 10:39:27,26401.97
6,23:12:28 10:39:27,32312.23
7,23:12:28 10:39:27,24924.15
8,23:12:28 10:39:27,37099.79
9,23:12:28 10:39:27,30852.13
10,23:12:28 10:39:27,24914.57
1,23:12:28 10:40:27,14978.61
2,23:12:28 10:40:27,34795.28
3,23:12:28 10:40:27,27660.02
4,23:12:28 10:40:27,9078.79
5,23:12:28 10:40:27,35044.82
6,23:12:28 10:40:27,36972.29
7,23:12:28 10:40:27,35870.97
8,23:12:28 10:40:27,9680.28
9,23:12:28 10:40:27,9551.02
10,23:12:28 10:40:27,34996.27
1,23:12:28 10:41:27,33448.28
2,23:12:28 10:41:27,15459.28
3,23:12:28 10:41:27,7362.68
4,23:12:28 10:41:27,2866.02
5,23:12:28 10:41:27,38972.52
6,23:12:28 10:41:27,12815.81
7,23:12:28 10:41:27,27498.73
8,23:12:28 10:41:27,3914.39
9,23:12:28 10:41:27,23427.12
10,23:12:28 10:41:27,32025.42
1,23:12:28 10:42:27,39574.13
2,23:12:28 10:42:27,14140.09
3,23:12:28 10:42:27,3286.66
4,23:12:28 10:42:27,32244.54
5,23:12:28 10:42:27,28189.72
6,23:12:28 10:42:27,27758.70
7,23:12:28 10:42:27,12462.37
8,23:12:28 10:42:27,16248.00
9,23:12:28 10:42:27,39999.61
10,23:12:28 10:42:27,29195.15
1,23:12:28 10:43:27,24562.06
2,23:12:28 10:43:27,7870.86
3,23:12:28 10:43:27,30042.69
4,23:12:28 10:43:27,15497.19
5,23:12:28 10:43:27,21134.62
6,23:12:28 10:43:27,3609.77
7,23:12:28 10:43:27,12138.04
8,23:12:28 10:43:27,18783.01
9,23:12:28 10:43:27,23222.43
10,23:12:28 10:43:27,6665.73
1,23:12:28 10:44:27,8920.28
2,23:12:28 10:44:27,35883.12
3,23:12:28 10:44:27,27361.89
4,23:12:28 10:44:27,35080.58
5,23:12:28 10:44:27,12607.73
6,23:12:28 10:44:27,38012.09
7,23:12:28 10:44:27,566.34
8,23:12:28 10:44:27,19384.77
9,23:12:28 10:44:27,33988.91
10,23:12:28 10:44:27,38289.13
1,23:12:28 10:45:27,23763.02
2,23:12:28 10:45:27,12882.19
3,23:12:28 10:45:27,25103.57
4,23:12:28 10:45:27,36405.32
5,23:12:28 10:45:27,13340.85
6,23:12:28 10:45:27,27841.02
7,23:12:28 10:45:27,25742.49
8,23:12:28 10:45:27,3138.87
9,23:12:28 10:45:27,17932.14
10,23:12:28 10:45:27,39515.95
1,23:12:28 10:46:27,3374.28
2,23:12:28 10:46:27,33545.17
3,23:12:28 10:46:27,5097.11
4,23:12:28 10:46:27,27278.76
5,23:12:28 10:46:27,1683.53
6,23:12:28 10:46:27,16865.14
7,23:12:28 10:46:27,13055.24
